Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Remarques catalogueur,Type,Sujets
0000001,Le Secret. Annie Berthiaume,"QUINTY, Serge",Infomag,1,1,juillet-août 1997,1997-07-00,1997-08-00,p. 44,,,,,critique,"Berthiaume, Annie|Le Secret"
0000002,Par chez nous. Éric Dubeau,"QUINTY, Serge",Infomag,1,1,juillet-août 2007,1997-07-00,1997-08-00,p. 44,,,,,critique,"Par chez nous|Dubeau, Éric"
0000003,Terre fragile. Jean-Guy Labelle,"QUINTY, Serge",Infomag,1,1,juillet-août 1997,1997-07-00,1997-08-00,p. 44,,,,,critique,"Labelle, Jean-Guy (Chuck)|Terre fragile"
0000005,Le phénomène country au Canada français,"BOILEAU, Lucie",Infomag,4,5,mars-avril 2001,2001-03-00,2001-04-00,p. 18,,,,,chanson,"country|King, Carole Ann|industrie|Lalonde, Bobby|Labelle, Jean-Guy (Chuck)|identité|langue"
0000006,Philippe Flahaut : seul avec les autres,"BÉLANGER, Gabriel",Paroles & Musique,14,1,printemps 2007,2007-03-20,2007-06-21,p. 21,,,,,portrait,"Flahaut, Philippe|blues|chanter en français|diffusion"
0000007,Chuck repart avec le prix La Nuit sur l'étang,"DORNIER, Claude",Paroles & Musique,1,4,avril 1994,1994-04-00,1994-04-00,p. 10,,,,,annonce,"Labelle, Jean-Guy (Chuck)|La Nuit sur l'étang|Prix la Nuit sur l'étang"
0000008,Damien. Il tombe bien,"ROBITAILLE, Éric",Liaison,,125,hiver 2004,2004-12-21,2005-03-20,p. 49,,,,,portrait,"Robitaille, Damien"
0000009,"Trente ans de chansons, selon Lajoie, Monette et Demers","OUIMET, Jean-Michel",Liaison,,125,hiver 2004,2004-12-21,2005-03-20,p. 48,,,,,compte rendu,"Lajoie, Josée|Monette, Serge|Demers, Paul|30 ans de chansons"
0000010,Plus mordant que Le chien. L'album Seul avec les autres de Philippe Flahaut,"ROBITAILLE, Éric",Liaison,,123,été 2004,2004-06-21,2004-09-22,p. 45,,,,,critique,"Flahaut, Philippe|Seul avec les autres"
0000011,Francophone pop festival hits the high notes again,"MODRO, Heidi",The Ottawa Citizen,,,"May 9, 1991",1991-05-09,1991-05-09,p. D9,,,,,information,Ontario Pop
0000012,La diffusion des livres et des disques au Canada français. Présents mais invisibles,"QUINTY, Serge",Infomag,1,3,novembre-décembre 1997,1997-11-00,1997-12-00,p. 26,,,,,analyse,"industrie|APCM (Association des professionnels de la chanson et de la musique)|Demers, Paul|diffusion"
0000013,SOS Montfort - Pour ne jamais oublier. Artistes variés,"QUINTY, Serge",Infomag,1,3,novembre-décembre 1997,1997-11-00,1997-12-00,p. 30,,,,,critique,SOS Montfort-Pour ne jamais oublier
0000014,Les Étrangers. Brasse-Camarade,"QUINTY, Serge",Infomag,1,3,novembre-décembre 1997,1997-11-00,1997-12-00,p. 30,,,,,critique,Les Étrangers|Brasse-Camarade|rock
0000015,La 30e Nuit sur l'étang à Sudbury. La Nuit reste jeune,"ROBITAILLE, Éric|QUINTY, Serge",Liaison,,117,hiver 2002-2003,2002-12-21,2003-03-20,p. 15,,,,,compte rendu,"La Nuit sur l'étang|DiCaire, Véronic|Afro Connexion|En Bref|Konflit Dramatik|Paquette, Stéphane (Stef)|Dault, Véronique|Tremblay-Beaulieu, Antoine"
0000016,L'album 18 roues de Serge Monette. Des accents folk sur la route du Nord,"ROBITAILLE, Éric",LIaison,,118,printemps 2003 ,2003-03-20,2003-06-21,p. 56,,,,,critique,"Monette, Serge|18 roues|folk"
0000017,Kif-Kif. Tout l'univers,"RIOUX, Jacques",Chansons,19,1,,,,p. 24,,,,,critique,Kif-Kif|pop|Tout l'univers
0000018,La chanson dans la francophonie canadienne. Ontario. Chronique d'une survie annoncée,"DENIS, Dominique",Chansons,19,3-4,,,,p. 39,,,,,analyse,"historique|industrie|Paquette, Robert|Garolou|CANO-musique|Demers, Paul|Poliquin, Donald|Brasse-Camarade|Kif-Kif|diffusion|identité|langue|identité|Cris et Blues"
0000019,Afro-mélo assez jojo,"CÔTÉ, Christian",Le Droit,,,12 juillet 2003,2003-07-12,2003-07-12,p. A14,,,,,critique,Konflit Dramatik|Univers dissimulé|rock
0000020,Le Gala de la chanson et de la musique franco-ontariennes célèbre l'excellence de nos artistes et artisans,"CÔTÉ, Manon",Liaison,,119,été 2003,2003-06-21,2003-09-22,p. 47,,,,,annonce,"Gala de la chanson et de la musique franco-ontariennes|DiCaire, Véronic|Lamoureux, Pierre|APCM (Association des professionnels de la chanson et de la musique)"
0000021,"Marcel Aymar, vive Marcel !","ROBITAILLE, Éric",Liaison,,119,été 2003,2003-06-21,2003-09-22,p. 49,,,,,critique,"Aymar, Marcel|Aymar"
